"","iteration","pcor","tae","sae","rmse","zs","p5"
"1","1.1",0.860118840162342,304018.533828017,0.331937099382915,201.300896305638,365966.689571852,0.65387323943662
"2","1.2",0.896724877382418,222264.65460922,0.24267561525728,174.27807364185,227099.757632502,0.519718309859155
"3","1.3",0.965935883509524,131796.414611496,0.143899515020872,102.069378454074,78944.5508837397,0.611619718309859
"4","1.4",0.980614296419934,101979.255954333,0.111344193370324,78.173324067497,53777.8638836761,0.601408450704225
"5","2.1",0.984158173841704,82396.7484979695,0.0899633892401828,71.1423778665821,43287.2297968995,0.440140845070423
"6","2.2",0.996415594811274,45722.4385836406,0.0499212118717497,33.3445287888704,10222.5837054961,0.35669014084507
"7","2.3",0.997242858805794,36353.4794810502,0.0396918845028127,29.2445701844316,6528.4563836763,0.282042253521127
"8","2.4",0.996215278175871,39783.8261907686,0.0434372460844386,35.3064903814858,11131.7209311036,0.249647887323944
"9","3.1",0.996088351940998,36932.1313438359,0.0403236750008034,36.1187787323237,11555.0809058324,0.204225352112676
"10","3.2",0.998667706538907,25675.7918077642,0.0280336456784907,20.6438200026136,3910.90552614886,0.144718309859155
"11","3.3",0.999033758194841,20543.2873547037,0.022429814164447,17.3095897797289,2759.59083088353,0.0992957746478873
"12","3.4",0.998087741031544,26906.0707396701,0.0293769033244859,25.5052403146496,5975.92135872003,0.0929577464788732
