super output areas - middle layer,mnemonic,all_ecact,m16,m18,m20,m25,m35,m55,m60,m65,f16,f18,f20,f25,f35,f55,f60,f65,f_total
Rotherham 016,E02001593,2298,26,56,126,386,601,73,33,31,25,61,124,304,495,64,41,15,1026
Rotherham 017,E02001594,2183,50,47,179,390,558,90,44,20,52,53,162,249,396,73,54,7,893
Rotherham 018,E02001595,4611,71,81,176,646,1252,189,106,37,53,96,204,587,1132,158,77,24,2155
Rotherham 019,E02001596,4070,57,72,192,479,1115,159,90,21,53,81,166,445,1074,136,84,16,1957
Rotherham 020,E02001597,3620,40,92,194,475,1022,141,62,19,61,86,188,428,844,127,66,23,1668
Rotherham 021,E02001598,4022,42,43,150,500,1135,165,104,20,67,63,153,438,1015,186,69,15,1921
Rotherham 022,E02001599,2812,40,55,107,332,810,154,78,10,40,45,119,326,713,147,49,22,1328
Rotherham 023,E02001600,4238,51,98,180,452,1169,249,100,40,56,82,148,362,1085,218,60,42,1951
Rotherham 024,E02001601,2235,40,37,86,259,635,150,58,26,42,31,124,244,570,106,55,31,1040
Rotherham 025,E02001602,4294,79,75,178,545,1122,229,129,41,86,98,181,500,993,209,63,19,1993
Rotherham 026,E02001603,2604,37,65,120,319,768,149,69,26,49,38,115,281,623,123,42,14,1147
Rotherham 027,E02001604,3449,31,60,142,582,883,147,82,22,55,36,162,472,782,142,56,25,1598
Rotherham 028,E02001605,2821,29,54,91,371,804,147,91,35,46,39,101,330,694,96,52,17,1265
Rotherham 029,E02001606,3725,53,96,175,488,998,197,102,31,63,109,156,380,899,154,61,24,1691
Rotherham 030,E02001607,4081,47,82,176,486,1084,222,116,34,56,65,190,377,1036,157,73,35,1892
Rotherham 031,E02001608,2967,46,57,122,378,750,146,67,38,42,71,154,375,709,131,55,7,1422
Rotherham 032,E02001609,4093,44,67,176,448,1130,256,118,14,44,50,152,385,1025,250,71,34,1907
Rotherham 033,E02001610,3707,40,65,156,468,939,220,114,50,30,71,155,427,861,186,58,21,1703
Sheffield 001,E02001611,3403,47,65,130,500,921,159,80,22,52,73,133,427,811,142,51,20,1573
Sheffield 002,E02001612,2976,39,52,109,434,807,157,69,7,27,55,128,385,723,129,49,15,1398
Sheffield 003,E02001613,5412,74,92,237,676,1446,265,142,41,63,128,212,596,1348,223,69,35,2528
Sheffield 004,E02001614,5670,93,104,233,692,1442,316,126,41,103,126,250,625,1390,216,85,39,2709
Sheffield 005,E02001615,3840,43,52,125,433,1017,232,159,37,48,61,120,390,952,219,71,31,1803
Sheffield 006,E02001616,2966,39,64,133,404,753,164,119,19,46,52,125,338,667,172,73,30,1372
Sheffield 007,E02001617,1911,37,71,108,267,474,64,50,24,58,76,88,229,438,80,40,12,884
Sheffield 008,E02001618,3695,39,81,136,406,1048,193,118,42,27,57,124,367,982,171,94,13,1713
Sheffield 009,E02001619,3527,50,71,188,475,895,164,88,28,73,102,178,353,781,120,83,17,1608
Sheffield 010,E02001620,2204,50,63,119,315,518,90,49,24,64,80,127,282,509,85,32,23,1052
Sheffield 011,E02001621,2096,41,52,110,301,547,70,73,25,47,34,126,244,450,95,60,5,957
Sheffield 012,E02001622,3719,55,75,208,593,898,162,109,25,52,47,204,487,802,149,60,32,1694
Sheffield 013,E02001623,2279,38,56,98,267,657,101,57,27,37,56,71,236,552,104,70,27,1050
Sheffield 014,E02001624,4558,73,88,224,643,1101,207,125,28,69,72,190,563,990,199,91,28,2124
Sheffield 015,E02001625,2758,38,81,148,393,689,120,78,21,26,68,136,322,652,123,70,18,1273
Sheffield 016,E02001626,2998,39,68,121,384,801,129,78,34,48,60,133,386,765,132,35,18,1433
Sheffield 017,E02001627,3046,25,37,167,505,734,92,67,21,20,58,163,496,644,88,73,12,1473
Sheffield 018,E02001628,1762,37,66,134,328,428,74,63,9,40,72,125,207,324,70,61,13,736
Sheffield 019,E02001629,2095,33,41,98,308,534,79,69,26,48,53,114,251,434,97,49,19,981
Sheffield 020,E02001630,2621,52,71,156,438,706,103,51,38,48,64,123,286,528,102,53,27,1082
Sheffield 021,E02001631,3772,59,66,179,543,961,145,91,31,46,86,205,505,895,158,40,24,1782
Sheffield 022,E02001632,2634,30,48,166,451,658,100,77,39,50,45,157,293,521,95,57,30,1134
Sheffield 023,E02001633,3649,56,50,110,372,1074,209,94,28,22,63,101,330,1021,167,49,12,1693
Sheffield 024,E02001634,4883,36,55,276,841,1102,171,107,17,22,74,258,764,1048,139,78,20,2318
Sheffield 025,E02001635,2672,29,41,94,351,691,136,129,15,32,33,86,308,602,173,75,24,1242
Sheffield 026,E02001636,2881,37,33,150,520,654,120,61,25,43,51,154,430,550,119,52,13,1322
Sheffield 027,E02001637,1550,44,39,119,321,364,62,43,30,40,59,105,161,237,70,29,26,593
Sheffield 028,E02001638,2568,11,51,324,462,435,80,34,5,26,50,360,357,404,73,21,21,1218
Sheffield 029,E02001639,2934,38,49,205,540,540,98,71,6,26,55,257,541,510,114,84,15,1480
Sheffield 030,E02001640,2802,15,99,328,398,524,89,66,12,33,152,345,323,448,76,59,23,1352
Sheffield 031,E02001641,1804,24,71,250,346,314,59,24,18,18,85,252,272,203,43,36,23,782
Sheffield 032,E02001642,4106,43,65,163,641,1024,202,137,33,34,66,175,509,890,155,95,18,1853
Sheffield 033,E02001643,2891,32,31,104,266,897,182,91,39,37,58,90,253,830,150,54,34,1335
Sheffield 034,E02001644,2048,34,44,131,314,478,75,55,12,46,55,140,286,432,74,37,12,968
Sheffield 035,E02001645,2492,18,73,224,391,556,96,69,27,12,96,180,326,489,102,57,15,1118
Sheffield 036,E02001646,3310,18,169,374,405,602,83,57,35,12,246,442,335,527,107,40,24,1633
Sheffield 037,E02001647,2550,41,44,92,361,683,146,61,25,32,54,116,304,614,141,56,18,1176
Sheffield 038,E02001648,3227,25,208,206,370,740,135,88,52,35,241,185,327,668,138,38,15,1489
Sheffield 039,E02001649,2503,63,50,134,385,621,106,72,18,51,63,164,314,517,129,59,43,1169
Sheffield 040,E02001650,2184,20,64,262,380,444,65,43,17,23,72,271,297,373,77,37,27,989
Sheffield 041,E02001651,3557,42,51,100,253,1108,239,121,54,35,40,117,248,1069,195,78,17,1679
Sheffield 042,E02001652,2690,19,134,327,441,478,52,37,19,22,153,359,337,317,45,21,10,1209
Sheffield 043,E02001653,1966,28,96,120,245,425,99,59,27,34,99,132,209,367,108,39,18,911
Sheffield 044,E02001654,3026,57,71,125,387,813,155,94,24,58,74,120,359,741,133,67,28,1395
Sheffield 045,E02001655,3123,47,51,134,417,804,181,109,36,29,42,155,347,705,137,70,22,1420
Sheffield 046,E02001656,3720,43,56,362,616,761,98,74,30,27,93,377,472,737,113,76,16,1769
Sheffield 047,E02001657,4875,53,58,266,622,1309,179,100,40,68,59,256,563,1210,174,89,22,2312
Sheffield 048,E02001658,1906,45,50,126,279,416,83,91,12,45,56,118,257,367,93,49,13,893
Sheffield 049,E02001659,2453,51,47,119,357,650,99,68,13,30,55,113,302,568,82,76,13,1131
Sheffield 050,E02001660,4349,15,103,286,813,1017,142,75,40,34,105,269,568,844,146,44,32,1919
Sheffield 051,E02001661,3032,44,89,184,427,726,104,75,18,26,80,173,419,683,123,64,16,1440
Sheffield 052,E02001662,3270,39,59,157,457,819,168,105,19,46,72,123,436,757,168,69,22,1526
Sheffield 053,E02001663,3731,51,60,164,635,922,97,58,25,43,50,161,602,846,102,50,27,1781
Sheffield 054,E02001664,2799,24,52,123,315,730,128,89,47,33,62,116,278,676,127,77,18,1318
Sheffield 055,E02001665,4453,60,65,158,328,1423,238,148,51,71,59,144,294,1381,217,91,33,2105
Sheffield 056,E02001666,2666,47,60,109,395,685,133,69,34,74,56,138,327,608,89,48,25,1222
Sheffield 057,E02001667,3201,58,53,121,520,828,134,58,21,43,54,140,474,745,155,79,35,1512
Sheffield 058,E02001668,2223,31,43,119,318,507,119,66,32,40,46,115,258,498,91,43,18,1032
Sheffield 059,E02001669,3958,51,31,162,653,906,145,126,31,66,70,193,570,903,159,70,17,1938
Sheffield 060,E02001670,2134,28,53,127,290,489,115,65,33,43,58,128,251,486,111,46,19,1001
Sheffield 061,E02001671,3037,32,46,121,346,850,165,95,29,42,61,119,340,805,140,62,24,1440
Sheffield 062,E02001672,2579,29,65,86,296,711,129,110,20,33,60,80,294,637,134,67,26,1203
Sheffield 063,E02001673,3380,40,55,113,457,989,123,55,16,64,76,140,459,866,83,54,24,1624
Sheffield 064,E02001674,4277,68,73,130,440,1204,231,138,27,41,62,144,397,1134,211,95,21,2029
Sheffield 065,E02001675,4279,86,85,194,581,1079,222,114,29,80,84,226,453,1033,185,77,27,1981
Sheffield 066,E02001676,2958,57,35,102,327,861,146,115,40,41,54,87,323,776,146,86,23,1379
Sheffield 067,E02001677,4394,61,83,169,657,1111,210,105,41,50,78,169,639,1024,168,91,20,2067
Sheffield 068,E02001678,4189,52,44,116,307,1300,274,183,105,71,77,108,265,1157,214,119,49,1900
Sheffield 069,E02001679,2397,37,30,128,347,611,124,61,40,33,42,126,273,534,128,57,31,1093
Sheffield 070,E02001680,2040,21,41,118,331,518,82,65,23,24,62,127,251,425,109,62,19,928
Sheffield 071,E02001681,3401,26,35,95,347,976,214,116,60,29,61,104,321,939,211,71,51,1621
Bradford 001,E02002183,2448,50,43,75,248,688,128,99,63,49,46,109,239,602,129,62,23,1126
Bradford 002,E02002184,5380,68,44,185,512,1523,321,221,91,88,55,179,474,1356,265,152,53,2505
Bradford 003,E02002185,2815,47,38,84,348,775,128,84,45,49,45,98,309,772,124,53,19,1342
Bradford 004,E02002186,6273,91,113,215,751,1648,319,165,38,105,80,276,730,1535,254,67,55,2997
Bradford 005,E02002187,2761,49,60,103,236,823,149,74,41,56,59,71,257,772,138,52,24,1302
Bradford 006,E02002188,2949,26,45,104,306,820,163,120,25,41,51,104,329,754,165,49,19,1400
Bradford 007,E02002189,2452,43,59,158,280,697,133,83,26,40,46,126,211,577,112,64,23,1071
Bradford 008,E02002190,3946,75,121,343,684,968,156,96,26,65,119,223,393,681,120,58,16,1564
Bradford 009,E02002191,3346,59,83,215,471,853,134,79,49,55,90,179,401,721,101,60,19,1481
Bradford 010,E02002192,3910,46,66,156,312,1194,193,125,47,61,62,154,299,1094,207,62,47,1857
Bradford 011,E02002193,2312,44,62,108,327,582,98,83,33,36,64,127,319,483,106,59,43,1076
Bradford 012,E02002194,3315,64,68,146,341,890,161,99,7,67,60,126,369,862,142,59,26,1612
Bradford 013,E02002195,3148,43,60,119,305,917,173,95,36,57,58,92,273,846,164,59,37,1473
Bradford 014,E02002196,3120,62,42,140,387,841,154,76,29,74,73,122,396,791,109,37,32,1494
Bradford 015,E02002197,3635,34,55,184,518,924,161,76,43,49,53,123,495,873,157,54,43,1729
Bradford 016,E02002198,3838,56,59,159,443,1003,177,121,54,50,84,138,429,979,174,65,30,1833
Bradford 017,E02002199,3169,55,44,87,356,886,159,121,43,40,62,126,385,815,143,95,26,1532
Bradford 018,E02002200,4347,59,54,215,494,1198,231,123,52,87,68,178,459,1117,179,71,56,2043
Bradford 019,E02002201,5035,53,74,204,701,1341,181,112,28,63,81,247,673,1230,162,56,37,2430
Bradford 020,E02002202,2799,39,39,165,391,690,123,72,26,46,57,151,359,697,118,68,40,1364
Bradford 021,E02002203,3126,51,61,156,406,804,164,76,19,53,60,162,367,738,125,61,25,1458
Bradford 022,E02002204,5503,63,77,223,562,1512,281,145,59,68,98,194,573,1442,269,95,44,2648
Bradford 023,E02002205,4871,55,67,179,597,1394,229,122,46,60,61,179,573,1266,170,100,35,2284
Bradford 024,E02002206,3718,69,58,189,399,968,202,128,41,53,65,161,369,950,153,83,29,1753
Bradford 025,E02002207,2400,49,65,150,370,656,92,66,19,54,71,136,263,527,92,58,26,1043
Bradford 026,E02002208,3210,45,51,147,364,858,146,75,41,42,77,153,365,790,126,62,32,1539
Bradford 027,E02002209,2090,57,75,102,235,560,78,58,10,45,56,99,260,534,73,40,12,988
Bradford 028,E02002210,3500,58,64,159,442,943,154,83,27,53,67,173,433,847,116,70,19,1641
Bradford 029,E02002211,2242,45,53,128,297,627,96,66,25,46,54,101,218,531,87,57,36,990
Bradford 030,E02002212,2354,31,35,108,304,601,108,85,32,34,63,129,243,605,92,54,8,1124
Bradford 031,E02002213,3051,50,45,128,317,853,158,82,30,38,69,134,312,809,130,44,17,1443
Bradford 032,E02002214,2853,41,68,122,336,763,120,76,19,59,63,150,336,713,118,51,37,1383
Bradford 033,E02002215,2457,61,77,307,533,576,60,69,30,61,74,182,231,277,49,41,17,824
Bradford 034,E02002216,1959,43,65,244,456,484,60,40,31,33,82,167,214,179,34,39,23,620
Bradford 035,E02002217,2771,55,86,152,454,694,93,58,20,49,72,170,322,604,86,66,39,1263
Bradford 036,E02002218,3712,44,59,205,457,939,170,96,35,45,67,173,445,951,128,78,21,1773
Bradford 037,E02002219,1807,27,33,163,379,439,77,53,25,33,50,131,206,257,63,31,23,675
Bradford 038,E02002220,2363,34,75,189,437,636,68,38,27,32,78,128,303,422,69,48,22,943
Bradford 039,E02002221,2311,32,81,230,560,509,70,59,41,47,95,145,232,279,61,40,10,786
Bradford 040,E02002222,2859,63,77,152,383,720,101,85,34,16,105,109,375,683,123,74,30,1355
Bradford 041,E02002223,1749,45,61,174,327,430,54,52,27,50,63,140,193,288,51,36,24,691
Bradford 042,E02002224,1941,49,56,192,433,527,52,40,22,41,74,137,189,242,24,28,17,627
Bradford 043,E02002225,3528,35,63,136,463,943,153,86,39,57,58,171,453,862,134,60,31,1690
Bradford 044,E02002226,3162,42,177,495,612,598,44,40,4,30,165,503,289,238,47,23,17,1212
Bradford 045,E02002227,1852,26,38,133,298,476,74,62,19,39,54,113,258,355,90,40,26,813
Bradford 046,E02002228,2039,46,34,113,245,553,79,48,17,48,75,100,240,489,89,37,25,970
Bradford 047,E02002229,3407,27,64,183,418,911,141,95,37,39,90,167,417,877,116,49,24,1636
Bradford 048,E02002230,1910,35,86,190,364,439,65,44,29,41,86,178,217,253,71,33,19,744
Bradford 049,E02002231,4099,53,95,232,581,1048,182,115,27,73,88,251,461,930,135,72,20,1870
Bradford 050,E02002232,2473,37,50,143,390,592,78,49,14,33,52,141,345,568,68,42,12,1168
Bradford 051,E02002233,2173,39,69,186,356,553,71,66,11,65,38,157,245,416,85,47,31,929
Bradford 052,E02002234,2018,63,60,126,235,482,81,53,18,53,65,121,238,472,75,44,23,967
Bradford 053,E02002235,2089,51,46,152,321,537,64,59,26,60,67,127,223,448,76,30,25,908
Bradford 054,E02002236,2828,33,56,127,308,779,127,73,21,48,59,148,338,730,127,60,25,1392
Bradford 055,E02002237,3344,77,85,172,358,862,167,100,27,51,68,196,395,843,119,62,28,1593
Bradford 056,E02002238,2560,34,83,146,353,643,79,68,21,50,66,136,361,629,80,52,32,1238
Bradford 057,E02002239,3588,51,90,197,474,938,128,76,18,41,84,180,448,883,111,54,21,1683
Bradford 058,E02002240,5394,66,90,249,720,1425,215,109,27,43,89,207,693,1355,149,52,14,2529
Bradford 059,E02002241,4922,98,111,270,623,1255,171,110,37,65,110,292,599,1174,165,90,37,2354
Bradford 060,E02002242,3859,50,68,150,440,1027,223,119,45,34,62,160,403,978,160,68,26,1798
Bradford 061,E02002243,4258,66,79,185,523,1116,201,104,25,63,89,201,485,1049,182,81,32,2044
Calderdale 001,E02002244,3043,53,55,144,321,802,171,105,41,53,66,117,285,790,148,56,16,1424
Calderdale 002,E02002245,1954,47,47,95,334,461,91,46,26,34,40,115,268,432,102,35,22,888
Calderdale 003,E02002246,4707,80,83,171,512,1283,233,127,16,67,84,138,521,1231,216,66,38,2260
Calderdale 004,E02002247,4570,56,83,99,458,1362,213,108,48,61,68,129,446,1365,170,53,23,2202
Calderdale 005,E02002248,3036,58,42,131,372,752,119,91,36,76,80,129,376,771,112,69,9,1510
Calderdale 006,E02002249,2430,55,52,98,340,598,99,70,9,35,51,123,351,578,76,64,12,1194
Calderdale 007,E02002250,3715,49,51,116,375,1065,217,133,30,42,50,108,383,1023,139,87,23,1757
Calderdale 008,E02002251,3093,59,58,158,470,778,135,80,25,53,46,140,386,668,131,43,38,1395
Calderdale 009,E02002252,2826,25,45,100,295,795,157,97,24,32,41,93,277,780,135,52,17,1345
Calderdale 010,E02002253,2706,45,34,107,410,707,125,65,23,27,49,144,341,643,96,49,21,1260
Calderdale 011,E02002254,3016,41,50,120,309,856,152,95,43,46,64,117,293,765,152,49,35,1423
Calderdale 012,E02002255,1654,31,46,170,378,396,53,44,23,42,77,174,141,207,36,32,21,590
Calderdale 013,E02002256,3827,41,47,153,429,1062,201,100,35,39,54,150,368,1008,157,56,43,1806
Calderdale 014,E02002257,1952,32,46,135,386,511,62,52,20,35,36,129,261,360,80,41,9,811
Calderdale 015,E02002258,3768,57,68,146,433,1041,204,128,17,49,50,147,440,958,195,83,42,1782
Calderdale 016,E02002259,3000,50,52,134,428,777,136,60,54,47,74,145,355,726,125,57,16,1396
Calderdale 017,E02002260,4026,43,63,188,523,1017,192,115,44,59,103,160,466,955,145,65,27,1893
Calderdale 018,E02002261,3661,33,91,137,444,987,180,117,48,46,71,138,445,884,151,69,41,1711
Calderdale 019,E02002262,3614,50,58,148,469,960,169,122,26,53,66,175,430,865,160,70,13,1704
Calderdale 020,E02002263,2919,58,52,128,308,788,139,88,40,55,56,115,318,789,136,37,12,1393
Calderdale 021,E02002264,3121,41,58,112,374,856,160,98,23,43,62,107,354,829,134,70,41,1503
Calderdale 022,E02002265,2533,61,44,110,316,699,139,82,39,29,57,105,308,625,142,52,25,1145
Calderdale 023,E02002266,3057,38,49,113,417,821,168,85,36,51,51,111,373,747,134,43,15,1398
Calderdale 024,E02002267,3544,39,70,159,376,971,193,112,37,43,52,124,396,908,169,63,17,1666
Calderdale 025,E02002268,4122,46,58,181,547,1057,178,143,32,45,64,180,505,990,187,85,41,1967
Calderdale 026,E02002269,4761,67,79,152,595,1310,204,131,41,64,99,145,543,1239,184,56,16,2251
Calderdale 027,E02002270,3936,48,43,122,428,1149,218,119,43,51,42,118,407,1071,166,76,35,1835
Kirklees 001,E02002271,3332,51,68,133,390,906,168,108,49,50,71,123,399,858,131,45,41,1541
Kirklees 002,E02002272,4516,78,76,191,575,1195,219,127,15,49,81,190,511,1091,180,61,11,2101
Kirklees 003,E02002273,3003,24,54,128,394,801,157,82,51,38,50,110,361,759,129,48,15,1378
Kirklees 004,E02002274,3091,59,71,120,359,840,178,103,31,50,71,135,342,765,145,61,27,1442
Kirklees 005,E02002275,3787,54,60,157,508,972,160,102,36,43,92,161,452,865,129,49,30,1768
Kirklees 006,E02002276,3483,56,68,202,433,873,184,87,35,54,78,161,417,834,162,53,32,1632
Kirklees 007,E02002277,2740,49,54,160,402,693,139,104,41,34,66,159,310,581,125,59,12,1200
Kirklees 008,E02002278,2841,34,63,126,363,728,146,69,23,40,48,122,336,716,117,65,28,1364
Kirklees 009,E02002279,2683,52,59,103,382,703,109,75,41,59,69,113,340,584,117,45,17,1225
Kirklees 010,E02002280,1716,55,64,146,299,429,79,69,20,44,42,114,153,297,69,49,17,650
Kirklees 011,E02002281,4671,90,96,270,735,1157,179,130,32,65,97,191,626,911,142,95,24,2059
Kirklees 012,E02002282,2683,46,56,163,452,680,99,75,9,47,62,125,329,561,86,40,15,1168
Kirklees 013,E02002283,2494,39,91,240,538,662,76,54,26,47,107,168,242,326,61,35,17,861
Kirklees 014,E02002284,3072,39,66,136,378,811,154,84,34,39,67,120,356,785,132,58,15,1453
Kirklees 015,E02002285,3910,56,48,174,454,1065,185,140,34,76,70,155,442,1003,169,72,22,1861
Kirklees 016,E02002286,2362,35,64,120,412,582,71,45,18,35,55,101,363,490,69,27,13,1068
Kirklees 017,E02002287,2074,15,44,151,372,514,84,63,35,18,47,111,238,382,65,40,19,851
Kirklees 018,E02002288,3734,69,83,161,530,926,145,108,21,80,87,172,487,878,125,88,11,1792
Kirklees 019,E02002289,2147,33,64,144,384,552,74,62,19,35,45,91,278,442,67,49,14,904
Kirklees 020,E02002290,3134,66,59,150,345,827,181,119,43,58,61,118,291,805,188,68,19,1436
Kirklees 021,E02002291,3078,38,47,130,363,830,181,75,17,41,53,126,371,779,134,59,13,1468
Kirklees 022,E02002292,2725,57,63,94,252,806,114,80,43,52,62,111,297,722,80,38,16,1278
Kirklees 023,E02002293,2202,60,96,187,412,562,77,58,17,43,72,107,240,387,69,41,8,820
Kirklees 024,E02002294,3205,47,87,268,610,885,89,53,33,69,76,191,339,491,73,39,19,1188
Kirklees 025,E02002295,1968,41,61,88,277,495,112,33,21,34,60,120,282,465,105,23,15,924
Kirklees 026,E02002296,3023,30,55,113,409,814,149,99,16,18,64,126,351,733,122,81,15,1406
Kirklees 027,E02002297,2935,30,51,123,360,795,187,92,34,25,25,97,294,731,127,60,33,1319
Kirklees 028,E02002298,2961,43,51,142,307,816,147,95,42,34,72,113,304,763,128,53,24,1380
Kirklees 029,E02002299,2017,48,31,149,318,474,77,56,23,45,58,162,264,465,79,49,18,956
Kirklees 030,E02002300,2881,30,52,119,265,810,153,101,29,43,55,130,288,750,129,57,17,1379
Kirklees 031,E02002301,2289,42,61,193,397,544,72,43,22,39,89,215,317,345,65,29,23,995
Kirklees 032,E02002302,2771,27,51,100,339,739,156,87,39,29,73,103,339,733,142,64,20,1332
Kirklees 033,E02002303,2806,35,26,102,382,715,129,83,50,45,60,155,360,676,106,32,7,1334
Kirklees 034,E02002304,2682,48,77,170,408,657,102,52,27,47,86,220,350,524,104,65,17,1241
Kirklees 035,E02002305,2308,44,42,99,340,587,113,49,37,39,34,152,265,544,90,25,26,1066
Kirklees 036,E02002306,3269,34,66,140,342,984,145,79,38,47,41,117,351,879,124,66,24,1524
Kirklees 037,E02002307,2706,34,48,131,390,685,132,75,31,49,93,114,339,634,136,50,34,1270
Kirklees 038,E02002308,2918,34,42,112,436,750,125,63,17,37,39,115,401,673,120,64,18,1385
Kirklees 039,E02002309,2245,33,68,159,389,554,89,58,16,15,50,155,325,378,99,35,26,951
Kirklees 040,E02002310,2402,53,27,152,340,558,102,63,24,41,46,168,324,541,102,31,22,1150
Kirklees 041,E02002311,2972,41,71,126,420,768,102,70,20,46,54,131,423,742,93,40,8,1432
Kirklees 042,E02002312,2493,40,104,184,380,526,102,45,27,39,99,215,335,456,111,50,18,1177
Kirklees 043,E02002313,2089,38,41,154,455,522,65,47,18,53,67,208,254,301,62,24,26,841
Kirklees 044,E02002314,2540,37,40,110,269,684,126,83,53,59,60,121,252,658,116,68,20,1213
Kirklees 045,E02002315,3058,48,59,155,500,763,109,59,24,43,54,181,457,687,109,51,18,1433
Kirklees 046,E02002316,2935,45,29,135,329,820,162,110,29,51,43,125,314,731,113,66,23,1356
Kirklees 047,E02002317,2551,25,41,134,369,610,112,81,34,35,57,152,311,584,124,52,21,1215
Kirklees 048,E02002318,2650,52,51,119,313,701,112,74,37,43,92,128,313,630,104,58,8,1257
Kirklees 049,E02002319,3051,59,48,133,409,857,137,53,40,45,57,145,388,721,138,48,24,1398
Kirklees 050,E02002320,2814,20,48,88,329,776,167,63,26,43,63,100,313,749,142,61,15,1372
Kirklees 051,E02002321,3267,50,169,178,277,847,172,81,37,52,221,144,286,791,133,57,30,1558
Kirklees 052,E02002322,2971,52,61,99,327,850,161,76,34,41,45,115,316,811,111,32,8,1370
Kirklees 053,E02002323,3874,42,35,141,469,1085,215,122,30,45,68,128,438,990,172,66,13,1799
Kirklees 054,E02002324,2992,47,55,116,344,808,175,79,26,41,54,126,312,750,138,47,14,1397
Kirklees 055,E02002325,3862,48,71,141,406,1094,173,117,55,52,84,106,423,1041,152,54,25,1812
Kirklees 056,E02002326,3141,61,57,93,397,882,166,95,26,27,61,117,357,834,121,59,10,1460
Kirklees 057,E02002327,4623,64,68,174,526,1289,251,111,36,42,98,159,487,1154,236,59,33,2162
Kirklees 058,E02002328,3266,41,43,106,359,991,180,80,28,33,39,89,334,884,144,41,19,1482
Kirklees 059,E02002329,5741,67,76,200,674,1646,292,126,62,64,87,180,639,1500,208,72,20,2657
Leeds 001,E02002330,3554,35,46,130,309,1037,249,125,60,56,70,113,287,943,192,76,26,1645
Leeds 002,E02002331,2581,36,41,104,343,671,143,97,49,23,51,89,281,573,138,57,32,1164
Leeds 003,E02002332,2876,49,50,128,321,782,149,84,39,55,64,104,309,723,128,58,22,1339
Leeds 004,E02002333,4204,72,84,180,498,1147,174,120,48,43,74,180,495,1044,154,62,29,1962
Leeds 005,E02002334,3480,19,54,90,401,930,231,103,70,42,67,104,391,898,186,88,38,1666
Leeds 006,E02002335,3421,36,40,76,308,1070,244,133,67,27,39,93,307,908,172,103,50,1549
Leeds 007,E02002336,3043,21,34,93,255,926,198,94,82,45,34,52,270,807,126,69,46,1381
Leeds 008,E02002337,2992,44,44,102,302,840,194,89,61,35,59,121,274,816,163,72,26,1397
Leeds 009,E02002338,3139,51,60,138,428,826,132,114,24,24,67,164,390,751,115,53,16,1455
Leeds 010,E02002339,2869,46,54,112,458,732,121,82,22,36,53,128,407,643,120,61,32,1343
Leeds 011,E02002340,2986,45,50,143,429,743,133,80,23,42,51,135,375,722,129,51,7,1399
Leeds 012,E02002341,3602,50,39,144,369,1037,183,124,74,48,56,140,334,974,161,77,25,1660
Leeds 013,E02002342,2985,34,52,119,312,849,141,88,50,39,62,135,296,827,125,91,23,1443
Leeds 014,E02002343,3251,37,75,138,504,810,156,80,31,41,63,134,445,800,129,58,15,1521
Leeds 015,E02002344,3681,27,33,106,477,978,165,109,104,27,71,147,412,927,152,71,42,1740
Leeds 016,E02002345,3022,36,63,157,247,842,189,103,58,30,65,131,217,839,136,68,43,1402
Leeds 017,E02002346,2722,30,46,131,372,649,114,71,36,48,70,126,339,678,100,72,17,1340
Leeds 018,E02002347,2382,58,32,121,291,621,103,62,29,56,56,138,298,616,82,50,24,1172
Leeds 019,E02002348,2643,32,73,124,317,720,119,74,40,26,66,114,302,730,112,64,28,1259
Leeds 020,E02002349,2784,47,36,140,442,709,125,75,37,34,34,156,368,638,119,53,28,1279
Leeds 021,E02002350,3064,40,95,150,273,776,170,111,36,49,132,162,257,762,174,45,14,1473
Leeds 022,E02002351,2719,48,29,95,258,789,166,103,56,49,42,108,241,736,155,67,41,1261
Leeds 023,E02002352,3590,35,72,192,475,969,129,67,50,37,52,170,432,870,138,56,26,1662
Leeds 024,E02002353,2972,34,70,125,377,850,107,58,17,35,60,132,381,793,108,51,27,1443
Leeds 025,E02002354,3516,51,72,189,420,927,150,83,52,48,74,126,400,886,141,83,51,1650
Leeds 026,E02002355,2451,31,205,159,234,544,73,55,33,30,248,165,194,492,88,42,22,1185
Leeds 027,E02002356,4053,35,80,142,479,1079,214,129,59,40,76,151,492,987,177,89,31,1913
Leeds 028,E02002357,3997,55,49,166,605,878,158,118,40,70,81,212,620,881,163,70,27,2004
Leeds 029,E02002358,3650,47,101,200,442,966,160,90,37,41,97,157,382,910,151,105,25,1698
Leeds 030,E02002359,3163,21,60,126,347,885,163,110,57,30,68,104,355,785,151,71,20,1453
Leeds 031,E02002360,2879,16,38,140,463,660,118,60,33,22,44,144,450,669,115,58,16,1418
Leeds 032,E02002361,2690,23,51,125,342,708,102,55,36,32,45,147,359,683,95,38,13,1303
Leeds 033,E02002362,3173,41,63,141,423,790,122,88,20,38,75,163,441,760,123,58,38,1569
Leeds 034,E02002363,3471,32,22,136,605,765,122,64,38,32,66,188,619,836,103,76,19,1788
Leeds 035,E02002364,2111,34,69,125,282,532,93,46,12,36,67,113,294,495,92,40,28,1002
Leeds 036,E02002365,3267,20,46,302,591,621,104,37,35,14,87,340,455,618,91,40,32,1568
Leeds 037,E02002366,3358,52,63,164,446,852,157,88,53,58,58,161,416,779,160,77,42,1583
