super output areas - middle layer,mnemonic,all_ecact,m16,m18,m20,m25,m35,m55,m60,m65,f16,f18,f20,f25,f35,f55,f60,f65,f_total
North Lincolnshire 017,E02002765,2489,48,79,104,321,697,116,71,19,43,52,101,274,586,97,63,24,1111
North Lincolnshire 018,E02002766,3701,59,74,192,468,989,157,116,35,46,85,186,395,848,191,62,25,1686
North Lincolnshire 019,E02002767,3382,55,51,160,426,971,159,95,21,62,58,142,333,849,143,83,6,1547
North Lincolnshire 020,E02002768,3235,44,62,139,369,1020,184,87,29,44,73,111,313,844,133,60,20,1408
North Lincolnshire 021,E02002769,2864,32,50,89,265,867,159,101,50,32,50,80,282,738,126,66,22,1304
North Lincolnshire 022,E02002770,3049,41,74,151,389,858,160,108,48,34,70,122,302,706,143,59,47,1305
North Lincolnshire 023,E02002771,3109,46,48,95,308,952,183,116,35,26,46,137,242,804,133,72,28,1397
York 001,E02002772,3497,48,71,120,446,992,146,81,35,65,74,120,463,865,116,55,29,1635
York 002,E02002773,3028,73,70,126,301,804,170,85,34,59,68,132,264,820,149,51,26,1433
York 003,E02002774,3449,82,67,151,322,948,187,108,37,87,68,154,308,945,157,50,16,1623
York 004,E02002775,2505,55,64,80,252,656,130,107,13,64,66,113,254,664,126,82,25,1252
York 005,E02002776,3123,74,52,117,375,775,204,113,21,45,46,133,335,777,168,82,33,1492
York 006,E02002777,4296,52,68,180,655,1112,131,65,32,61,96,229,657,996,119,54,18,2072
York 007,E02002778,3711,47,45,166,508,965,159,110,27,52,59,178,479,881,143,66,45,1764
York 008,E02002779,4403,55,81,163,433,1175,237,175,56,76,106,169,372,1115,248,81,39,2096
York 009,E02002780,3432,42,88,252,532,772,115,65,24,43,94,241,526,705,116,58,24,1656
York 010,E02002781,3716,42,81,290,528,732,130,60,32,63,190,387,519,702,119,54,13,1907
York 011,E02002782,2798,41,63,83,267,787,152,124,51,58,52,90,263,700,159,67,42,1318
York 012,E02002783,4494,71,96,181,510,1259,202,116,39,58,92,148,463,1132,203,87,25,2103
York 013,E02002784,4122,20,36,348,744,832,147,116,29,32,98,415,643,649,133,64,37,1937
York 014,E02002785,2954,64,51,129,332,748,166,115,26,50,70,127,344,704,170,61,22,1408
York 015,E02002786,3635,74,78,240,508,797,156,82,20,48,98,314,447,761,116,65,21,1747
York 016,E02002787,4154,34,74,213,640,1030,146,93,39,22,83,209,558,944,127,81,27,1950
York 017,E02002788,4358,45,49,259,751,1031,138,95,29,63,84,310,644,890,155,73,27,2071
York 018,E02002789,3610,52,96,195,487,875,122,101,40,69,107,183,449,858,138,73,29,1742
York 019,E02002790,4670,61,69,397,770,1000,173,112,33,59,94,317,612,928,174,87,24,2159
York 020,E02002791,3031,31,35,120,315,868,212,105,61,52,34,98,273,834,146,61,36,1369
York 021,E02002792,3332,36,37,162,516,815,121,82,28,20,64,167,513,749,133,91,30,1635
York 022,E02002793,4568,74,97,191,556,1228,207,112,28,85,74,179,536,1128,198,82,25,2155
York 023,E02002794,2953,54,184,197,288,608,132,93,36,33,216,237,292,590,149,53,29,1451
York 024,E02002795,4134,54,88,141,406,1181,234,117,43,67,75,143,383,1151,165,55,10,1939
Craven 001,E02005742,3518,57,63,119,319,995,229,140,72,65,47,107,241,949,178,74,49,1597
Craven 002,E02005743,2327,14,34,67,196,675,152,92,85,23,25,72,186,591,166,94,43,1073
Craven 003,E02005744,3277,39,54,109,298,947,190,130,73,34,63,94,321,842,148,99,46,1514
Craven 004,E02005745,2462,29,47,81,176,752,135,108,72,37,41,65,180,692,147,62,22,1132
Craven 005,E02005746,3180,58,53,140,343,850,155,95,55,63,70,141,328,816,169,73,19,1525
Craven 006,E02005747,2988,35,38,170,455,706,113,74,32,38,67,147,387,689,137,43,21,1415
Craven 007,E02005748,3411,37,41,130,326,1013,186,98,74,45,33,77,327,916,165,60,39,1568
Craven 008,E02005749,4702,49,66,188,532,1249,269,150,68,55,83,166,504,1183,213,106,53,2220
Hambleton 001,E02005750,3417,42,62,123,355,965,240,111,67,63,62,119,298,863,176,76,34,1547
Hambleton 002,E02005751,4177,48,68,108,333,1247,349,176,90,57,62,121,309,1126,232,88,37,1858
Hambleton 003,E02005752,3419,28,71,92,309,981,243,135,70,42,66,84,292,858,171,72,48,1536
Hambleton 004,E02005753,5758,95,114,231,756,1451,243,142,64,102,87,254,697,1389,221,104,15,2732
Hambleton 005,E02005754,3767,54,40,125,331,1135,203,115,75,82,68,134,324,1022,166,63,32,1763
Hambleton 006,E02005755,2969,60,47,99,314,843,133,119,65,51,45,119,280,736,127,94,29,1375
Hambleton 007,E02005756,3676,45,116,289,509,947,148,118,66,55,80,139,370,797,130,86,14,1527
Hambleton 008,E02005757,3901,62,66,135,440,1051,199,140,76,73,71,168,421,926,185,77,51,1813
Hambleton 009,E02005758,3966,64,103,222,508,1056,206,145,69,51,49,115,339,915,178,94,38,1678
Hambleton 010,E02005759,3844,36,82,154,341,1157,226,139,86,36,93,97,321,992,183,95,46,1722
Hambleton 011,E02005760,3294,38,80,188,379,958,141,136,45,45,59,127,318,777,122,81,27,1426
Harrogate 001,E02005761,2683,41,34,90,262,754,178,114,84,21,50,95,236,686,122,70,38,1186
Harrogate 002,E02005762,2720,35,81,242,463,620,89,64,47,31,98,157,297,542,96,51,18,1155
Harrogate 003,E02005763,3103,37,63,184,414,783,183,108,75,21,64,86,305,697,160,64,36,1321
Harrogate 004,E02005764,4988,77,97,226,636,1255,270,161,63,77,91,244,545,1082,250,97,54,2301
Harrogate 005,E02005765,3140,37,56,110,369,878,171,119,71,28,56,86,339,762,164,83,25,1408
Harrogate 006,E02005766,2968,66,52,104,259,863,191,114,81,38,74,97,256,738,156,79,40,1316
Harrogate 007,E02005767,3007,47,39,87,274,972,158,118,62,50,49,102,269,828,148,82,39,1379
Harrogate 008,E02005768,4251,1079,70,126,442,865,136,74,48,72,49,131,396,783,122,42,32,1490
Harrogate 009,E02005769,3185,62,57,128,359,830,172,94,36,57,36,138,366,744,169,74,48,1515
Harrogate 010,E02005770,4903,66,80,190,589,1244,224,173,62,80,73,170,559,1240,186,118,42,2360
Harrogate 011,E02005771,4157,48,78,191,593,1045,160,100,34,54,65,180,571,972,159,67,37,1991
Harrogate 012,E02005772,3123,50,49,106,250,992,183,128,26,67,52,88,220,896,150,71,29,1431
Harrogate 013,E02005773,3782,65,64,181,620,871,103,123,50,66,71,189,580,815,111,89,36,1804
Harrogate 014,E02005774,4324,88,69,189,586,1108,157,104,47,69,59,176,528,1061,148,95,42,2050
Harrogate 015,E02005775,4299,41,60,269,685,990,156,82,50,51,104,291,632,815,141,70,30,2019
Harrogate 016,E02005776,3841,48,54,118,303,1231,236,142,62,52,54,72,350,1035,176,105,49,1750
Harrogate 017,E02005777,4119,63,91,150,408,1134,236,117,69,89,99,129,394,1101,175,60,51,1931
Harrogate 018,E02005778,3085,45,25,141,310,889,192,174,75,43,27,109,251,744,168,63,55,1334
Harrogate 019,E02005779,3403,37,56,147,413,940,157,85,66,45,55,182,431,780,126,63,45,1580
Harrogate 020,E02005780,4417,73,45,156,412,1286,252,151,68,70,74,146,369,1175,219,92,51,2067
Harrogate 021,E02005781,2635,37,31,72,207,821,197,94,59,33,53,66,213,718,124,81,33,1199
Richmondshire 001,E02005782,3727,33,71,131,334,1118,244,153,62,33,54,112,306,990,162,100,29,1665
Richmondshire 002,E02005783,3958,74,82,166,380,1099,188,127,50,50,88,164,363,1018,190,87,19,1855
Richmondshire 003,E02005784,2973,39,94,208,463,752,110,65,33,39,61,107,343,637,119,53,20,1264
Richmondshire 004,E02005785,7116,418,691,1074,1597,1101,116,75,10,59,94,268,742,850,109,48,33,2098
Richmondshire 005,E02005786,3019,37,57,107,311,811,200,133,95,50,56,92,239,719,131,85,51,1333
Richmondshire 006,E02005787,3452,56,42,129,322,965,218,142,67,48,52,110,297,860,152,80,43,1561
Ryedale 001,E02005788,2984,32,48,113,275,857,233,133,67,37,45,96,234,782,171,85,48,1320
Ryedale 002,E02005789,4518,51,75,164,474,1260,290,153,76,57,77,166,417,1117,247,116,71,2093
Ryedale 003,E02005790,3104,35,50,92,286,865,220,121,107,34,49,100,243,753,162,90,95,1394
Ryedale 004,E02005791,3047,44,60,97,315,881,174,136,75,37,38,93,289,744,162,72,33,1352
Ryedale 005,E02005792,2425,45,36,94,320,627,145,85,47,36,48,99,274,525,114,46,37,1074
Ryedale 006,E02005793,3547,55,63,160,438,914,173,115,25,61,58,152,409,834,150,76,28,1669
Ryedale 007,E02005794,4596,57,48,119,418,1375,298,190,98,48,59,147,385,1144,228,120,71,2083
Scarborough 001,E02005795,2918,46,55,114,328,782,158,85,38,54,71,146,283,745,153,73,48,1412
Scarborough 002,E02005796,3429,40,56,132,300,1019,189,137,90,42,47,98,248,915,161,94,52,1536
Scarborough 003,E02005797,2785,56,73,133,321,783,135,66,22,57,50,124,296,709,129,59,21,1299
Scarborough 004,E02005798,3741,62,64,108,282,1018,256,183,76,82,73,104,243,1017,207,95,56,1774
Scarborough 005,E02005799,4056,77,78,121,332,1151,217,157,53,87,62,130,330,1157,206,90,38,1947
Scarborough 006,E02005800,3110,56,71,160,372,735,164,87,37,76,64,163,320,714,183,61,30,1492
Scarborough 007,E02005801,2018,32,45,87,197,501,124,77,49,42,52,84,210,541,125,53,25,991
Scarborough 008,E02005802,3691,54,96,183,538,875,140,110,16,58,65,211,514,862,147,57,25,1792
Scarborough 009,E02005803,3644,50,52,134,427,957,204,91,40,69,92,138,386,917,167,69,37,1763
Scarborough 010,E02005804,3003,35,59,219,354,665,159,126,47,19,92,214,345,614,122,61,29,1408
Scarborough 011,E02005805,3303,49,68,107,351,859,212,104,44,40,71,148,308,841,183,84,55,1598
Scarborough 012,E02005806,2668,64,74,125,314,714,110,92,29,64,57,129,307,650,164,60,41,1259
Scarborough 013,E02005807,2849,57,46,98,263,822,181,106,70,34,45,83,246,783,130,60,17,1285
Scarborough 014,E02005808,4149,46,101,172,388,1115,260,158,58,90,81,154,339,1100,209,116,41,1943
Selby 001,E02005809,3775,51,84,183,381,1070,160,102,43,36,93,114,417,1005,157,92,17,1782
Selby 002,E02005810,4146,53,57,155,452,1186,242,147,70,61,54,149,418,1074,189,87,25,1892
Selby 003,E02005811,4495,78,94,137,529,1275,198,105,63,56,97,151,544,1136,165,63,21,2098
Selby 004,E02005812,4031,52,70,137,463,1173,209,95,21,44,92,168,414,1068,138,45,25,1880
Selby 005,E02005813,3779,44,59,222,600,927,151,94,7,48,73,213,530,793,127,63,26,1754
Selby 006,E02005814,3014,51,58,131,321,811,160,98,22,65,66,122,308,758,129,54,22,1425
Selby 007,E02005815,4034,89,51,143,434,1226,209,82,49,59,85,126,408,1053,170,68,26,1836
Selby 008,E02005816,3879,41,64,146,492,1137,197,110,36,54,57,136,419,978,135,70,28,1753
Selby 009,E02005817,3390,52,69,100,401,988,188,90,48,46,44,91,398,869,147,46,15,1527
Selby 010,E02005818,3464,42,58,130,370,1029,210,112,53,46,64,114,324,931,155,67,37,1562
