Zone Code,Zone Name,ks0150002,"Underground, metro, light rail, tram ",Train ,"Bus, minibus or coach ","Motorcycle, scooter or moped ",Driving a car or van ,Passenger in a car or van ,Taxi or minicab ,Bicycle ,On foot ,Other,ks0150013
E02001535,Barnsley 027,445,23,18,80,44,1937,144,32,24,139,14,36.15
E02001536,Barnsley 028,263,8,43,334,68,2115,300,23,33,271,20,13.35
E02001537,Barnsley 029,200,16,120,257,55,1834,258,40,33,234,12,25.29
E02001538,Barnsley 030,223,5,53,285,52,1854,327,34,38,391,30,17.54
E02001539,Doncaster 001,205,8,34,207,35,1290,244,37,153,156,16,28.12
E02001540,Doncaster 002,489,12,65,305,84,2767,497,28,105,367,32,23.58
E02001541,Doncaster 003,356,15,126,213,60,2343,350,15,281,575,27,22.3
E02001542,Doncaster 004,263,21,18,280,46,1379,241,21,86,204,7,26.15
E02001543,Doncaster 005,214,13,61,314,65,1938,297,19,74,331,24,16.41
E02001544,Doncaster 006,230,13,36,355,60,2201,328,29,120,204,21,24.27
E02001545,Doncaster 007,283,10,115,288,47,2879,314,16,162,228,17,24.64
E02001546,Doncaster 008,399,22,39,204,43,2053,211,23,100,568,46,32.78
E02001547,Doncaster 009,262,19,114,507,50,2182,374,41,84,355,28,30.29
E02001548,Doncaster 010,219,16,60,411,39,1333,251,37,96,263,15,30.13
E02001549,Doncaster 011,229,1,52,227,45,1724,232,27,132,229,14,27.64
E02001550,Doncaster 012,210,21,71,352,42,1679,282,36,104,258,17,27.44
E02001551,Doncaster 013,173,23,74,377,22,1501,245,42,111,306,23,24.6
E02001552,Doncaster 014,147,11,19,261,50,1150,224,50,140,185,29,27.97
E02001553,Doncaster 015,246,16,56,452,58,1957,327,26,174,523,23,17.51
E02001554,Doncaster 016,208,6,70,368,47,1919,234,31,115,257,19,22.74
E02001555,Doncaster 017,192,10,27,268,42,1892,248,24,107,178,19,20.48
E02001556,Doncaster 018,245,9,45,442,55,1590,310,33,162,474,21,14.23
E02001557,Doncaster 019,372,12,117,368,39,1982,293,53,135,630,25,28.7
E02001558,Doncaster 020,352,5,37,195,37,2071,232,18,31,162,27,19.56
E02001559,Doncaster 021,299,18,63,272,38,2506,281,42,65,226,26,30.54
E02001560,Doncaster 022,248,12,76,443,49,1393,266,62,118,735,29,27.13
E02001561,Doncaster 023,149,11,43,346,49,1082,213,40,97,361,22,14.92
E02001562,Doncaster 024,142,5,40,311,21,1259,214,28,63,142,30,30.87
E02001563,Doncaster 025,303,7,51,262,43,2013,257,30,85,144,26,33.51
E02001564,Doncaster 026,377,6,66,284,48,2590,239,39,63,137,27,36.8
E02001565,Doncaster 027,297,9,70,185,46,2091,207,29,74,107,32,27.01
E02001566,Doncaster 028,180,6,24,318,45,1212,189,47,87,283,14,22.92
E02001567,Doncaster 029,220,20,30,542,51,1885,336,31,122,340,24,13.34
E02001568,Doncaster 030,164,17,52,226,40,1225,257,29,38,265,18,19.5
E02001569,Doncaster 031,224,14,106,260,43,1918,329,41,54,594,22,25.05
E02001570,Doncaster 032,172,0,34,243,39,1008,212,24,30,275,26,34.36
E02001571,Doncaster 033,268,16,44,246,46,1836,186,24,46,188,17,30.81
E02001572,Doncaster 034,187,15,26,405,45,1486,293,38,47,516,19,32.23
E02001573,Doncaster 035,197,13,23,375,47,1708,316,28,42,343,14,25.1
E02001574,Doncaster 036,178,16,44,277,46,2062,241,25,85,160,18,24.85
E02001575,Doncaster 037,152,19,12,369,41,1280,268,38,90,248,11,30.34
E02001576,Doncaster 038,247,15,27,142,25,1529,142,29,41,198,27,28.47
E02001577,Doncaster 039,349,18,25,133,31,2143,180,38,48,237,23,37.91
E02001578,Rotherham 001,213,26,22,251,56,2081,282,49,40,297,12,24
E02001579,Rotherham 002,257,22,49,351,55,2188,367,50,49,385,27,20.74
E02001580,Rotherham 003,230,15,134,356,52,2253,326,41,45,375,29,28.29
E02001581,Rotherham 004,125,23,55,196,40,1667,247,29,40,211,18,30.33
E02001582,Rotherham 005,171,22,29,489,65,1856,298,16,29,198,15,14.62
E02001583,Rotherham 006,159,18,31,398,41,1307,235,21,27,223,22,17.89
E02001584,Rotherham 007,327,70,26,326,54,2593,254,38,26,134,14,28.24
E02001585,Rotherham 008,154,14,29,373,42,1305,248,13,54,260,15,9.51
E02001586,Rotherham 009,201,33,31,662,36,1978,325,42,23,242,15,28.43
E02001587,Rotherham 010,144,11,13,403,16,1287,222,22,22,206,25,22.03
E02001588,Rotherham 011,143,30,32,580,48,1341,275,38,39,200,22,28.46
E02001589,Rotherham 012,205,11,26,309,37,1861,240,37,24,162,25,27.24
E02001590,Rotherham 013,151,1,33,478,41,1042,267,38,30,292,11,12.19
E02001591,Rotherham 014,171,6,22,477,55,1426,259,55,54,514,15,25.72
E02001592,Rotherham 015,248,101,30,725,54,2545,398,22,59,291,15,20.57
E02001593,Rotherham 016,175,32,11,431,44,1120,212,38,40,295,21,18.87
E02001594,Rotherham 017,161,29,54,316,22,1038,182,46,35,429,11,16.77
E02001595,Rotherham 018,305,23,22,471,73,3013,399,30,61,331,31,26.01
E02001596,Rotherham 019,285,22,19,494,50,2599,295,37,32,291,16,25.54
E02001597,Rotherham 020,231,16,25,541,56,1988,394,25,36,455,35,22.55
E02001598,Rotherham 021,280,16,22,500,44,2551,364,25,51,259,12,19.92
E02001599,Rotherham 022,262,26,20,237,34,1954,208,24,32,148,23,32.56
E02001600,Rotherham 023,328,25,55,284,37,2700,333,28,37,447,38,13.77
E02001601,Rotherham 024,208,23,23,271,35,1490,198,30,17,121,22,22.58
E02001602,Rotherham 025,248,58,23,570,74,2658,342,28,63,329,20,23.97
E02001603,Rotherham 026,226,29,17,244,55,1630,226,31,48,236,22,32.36
E02001604,Rotherham 027,223,21,17,499,65,2141,338,38,59,191,25,28.52
E02001605,Rotherham 028,275,19,28,153,31,1944,223,13,37,195,20,25.01
E02001606,Rotherham 029,295,25,25,307,52,2300,341,29,62,396,33,30.4
E02001607,Rotherham 030,279,29,19,478,59,2558,395,12,28,282,23,17.9
E02001608,Rotherham 031,233,26,19,339,58,1859,242,19,39,243,6,17.85
E02001609,Rotherham 032,404,15,20,309,46,2820,287,31,45,221,22,24.5
E02001610,Rotherham 033,387,28,56,271,48,2502,258,26,42,174,11,16.76
E02001611,Sheffield 001,262,28,25,466,63,1914,218,28,26,509,21,30.38
E02001612,Sheffield 002,215,45,20,329,37,1950,199,26,32,217,15,35.04
E02001613,Sheffield 003,422,45,54,752,81,3393,441,34,40,281,24,26.64
E02001614,Sheffield 004,421,46,114,692,67,3538,389,37,33,371,31,28.89
E02001615,Sheffield 005,331,42,19,451,36,2513,269,17,24,206,13,21.84
E02001616,Sheffield 006,165,20,30,624,28,1678,255,40,27,234,20,27.6
E02001617,Sheffield 007,108,31,21,503,36,919,191,18,27,174,9,13.4
E02001618,Sheffield 008,389,111,38,412,39,2342,222,32,18,190,12,25.58
E02001619,Sheffield 009,220,47,15,946,64,1658,310,28,31,317,10,8.67
E02001620,Sheffield 010,125,33,24,590,37,1027,195,24,15,226,16,13.76
E02001621,Sheffield 011,109,30,12,557,53,1070,170,30,32,150,6,23.19
E02001622,Sheffield 012,237,60,12,889,54,1833,302,38,54,392,21,25.18
E02001623,Sheffield 013,129,21,7,633,35,1013,187,22,28,282,22,21.82
E02001624,Sheffield 014,284,127,26,800,54,2408,335,35,48,436,25,17.53
E02001625,Sheffield 015,160,10,21,744,52,1268,242,23,32,357,21,16.88
E02001626,Sheffield 016,230,411,33,316,49,1537,205,26,41,251,26,20.59
E02001627,Sheffield 017,186,457,22,401,32,1325,188,34,34,409,33,27.48
E02001628,Sheffield 018,113,66,31,367,27,838,158,55,19,234,17,23.7
E02001629,Sheffield 019,147,40,19,528,29,928,144,32,26,237,13,26.16
E02001630,Sheffield 020,175,28,20,608,45,1155,162,73,42,354,33,13.61
E02001631,Sheffield 021,238,401,33,523,67,1948,231,25,56,410,30,11.64
E02001632,Sheffield 022,213,29,27,667,29,984,161,72,35,434,39,17.89
E02001633,Sheffield 023,349,63,18,452,48,2334,223,23,34,184,13,13.18
E02001634,Sheffield 024,312,230,49,806,50,2413,294,15,100,664,19,9.18
E02001635,Sheffield 025,200,88,10,560,31,1501,175,17,29,162,20,15.12
